Id,Matapelajaran,Tingkatan,Tema,Bidang,Kandungan,StandardPembelajaran,DtCreated
1,SAINS,2,1,1,1,1,2023-05-01 01:32:14
2,SAINS,2,1,1,1,2,2023-05-01 01:34:34
3,SAINS,2,1,1,2,1,2023-05-01 01:34:50
4,SAINS,2,1,1,2,2,2023-05-01 01:35:27
5,SAINS,2,1,2,1,1,2023-05-01 01:36:34
6,SAINS,2,1,2,1,2,2023-05-01 01:36:34
7,SAINS,2,1,2,2,1,2023-05-01 01:36:34
8,SAINS,2,1,2,2,2,2023-05-01 01:36:34
9,SAINS,2,1,2,2,3,2023-05-01 01:36:34
10,SAINS,2,1,2,3,1,2023-05-01 01:36:34
11,SAINS,2,1,2,3,2,2023-05-01 01:36:34
12,SAINS,2,1,2,3,3,2023-05-01 01:36:34
13,SAINS,2,1,2,3,4,2023-05-01 01:36:34
14,SAINS,2,1,2,3,5,2023-05-01 01:36:34
15,SAINS,2,1,2,4,1,2023-05-01 01:36:34
16,SAINS,2,1,2,4,x,2023-05-01 01:36:34
17,SAINS,2,1,3,1,1,2023-05-01 01:36:34
18,SAINS,2,1,3,1,2,2023-05-01 01:36:34
19,SAINS,2,1,3,2,1,2023-05-01 01:36:34
20,SAINS,2,1,3,2,2,2023-05-01 01:36:34
21,SAINS,2,1,3,2,3,2023-05-01 01:36:34
22,SAINS,2,1,3,3,1,2023-05-01 01:36:34
23,SAINS,2,1,3,3,x,2023-05-01 01:36:34
24,SAINS,2,1,3,4,1,2023-05-01 01:36:34
25,SAINS,2,1,3,4,2,2023-05-01 01:36:34
26,SAINS,2,1,3,4,3,2023-05-01 01:36:34
27,SAINS,2,1,4,1,1,2023-05-01 01:36:34
28,SAINS,2,1,4,1,2,2023-05-01 01:36:34
29,SAINS,2,1,4,1,3,2023-05-01 01:36:34
30,SAINS,2,1,4,1,4,2023-05-01 01:36:34
31,SAINS,2,1,4,2,1,2023-05-01 01:36:34
32,SAINS,2,1,4,2,2,2023-05-01 01:36:34
33,SAINS,2,1,4,2,3,2023-05-01 01:36:34
34,SAINS,2,1,4,2,4,2023-05-01 01:36:34
35,SAINS,2,1,4,2,5,2023-05-01 01:36:34
36,SAINS,2,1,4,2,6,2023-05-01 01:36:34
37,SAINS,2,2,5,1,1,2023-05-01 01:36:34
38,SAINS,2,2,5,1,2,2023-05-01 01:36:34
39,SAINS,2,2,5,2,1,2023-05-01 01:36:34
40,SAINS,2,2,5,2,2,2023-05-01 01:36:34
41,SAINS,2,2,5,2,3,2023-05-01 01:36:34
42,SAINS,2,2,5,2,4,2023-05-01 01:36:34
43,SAINS,2,2,5,2,5,2023-05-01 01:36:34
44,SAINS,2,2,5,3,1,2023-05-01 01:36:34
45,SAINS,2,2,5,3,2,2023-05-01 01:36:34
46,SAINS,2,2,5,3,3,2023-05-01 01:36:34
47,SAINS,2,2,5,3,4,2023-05-01 01:36:34
48,SAINS,2,2,6,1,1,2023-05-01 01:36:34
49,SAINS,2,2,6,1,2,2023-05-01 01:36:34
50,SAINS,2,2,6,1,3,2023-05-01 01:36:34
51,SAINS,2,2,6,1,4,2023-05-01 01:36:34
52,SAINS,2,2,6,2,1,2023-05-01 01:36:34
53,SAINS,2,2,6,2,2,2023-05-01 01:36:34
54,SAINS,2,3,7,1,1,2023-05-01 01:36:34
55,SAINS,2,3,7,1,2,2023-05-01 01:36:34
56,SAINS,2,3,7,1,3,2023-05-01 01:36:34
57,SAINS,2,3,7,1,4,2023-05-01 01:36:34
58,SAINS,2,3,7,1,5,2023-05-01 01:36:34
59,SAINS,2,3,7,1,6,2023-05-01 01:36:34
60,SAINS,2,3,7,2,1,2023-05-01 01:36:34
61,SAINS,2,3,7,2,x,2023-05-01 01:36:34
62,SAINS,2,3,7,3,1,2023-05-01 01:36:34
63,SAINS,2,3,7,3,2,2023-05-01 01:36:34
64,SAINS,2,3,7,3,3,2023-05-01 01:36:34
65,SAINS,2,3,8,1,1,2023-05-01 01:36:34
66,SAINS,2,3,8,1,2,2023-05-01 01:36:34
67,SAINS,2,3,8,1,3,2023-05-01 01:36:34
68,SAINS,2,3,8,1,4,2023-05-01 01:36:34
69,SAINS,2,3,8,2,1,2023-05-01 01:36:34
70,SAINS,2,3,8,2,2,2023-05-01 01:36:34
71,SAINS,2,3,8,2,3,2023-05-01 01:36:34
72,SAINS,2,3,8,2,4,2023-05-01 01:36:34
73,SAINS,2,3,8,2,5,2023-05-01 01:36:34
74,SAINS,2,3,8,2,6,2023-05-01 01:36:34
75,SAINS,2,3,8,2,7,2023-05-01 01:36:34
76,SAINS,2,3,8,2,8,2023-05-01 01:36:34
77,SAINS,2,3,9,1,1,2023-05-01 01:36:34
78,SAINS,2,3,9,1,x,2023-05-01 01:36:34
79,SAINS,2,3,9,2,1,2023-05-01 01:36:34
80,SAINS,2,3,9,2,2,2023-05-01 01:36:34
81,SAINS,2,3,9,2,3,2023-05-01 01:36:34
82,SAINS,2,3,9,3,1,2023-05-01 01:36:34
83,SAINS,2,3,9,3,2,2023-05-01 01:36:34
84,SAINS,2,3,9,4,1,2023-05-01 01:36:34
85,SAINS,2,3,9,4,2,2023-05-01 01:36:34
86,SAINS,2,3,9,4,3,2023-05-01 01:36:34
87,SAINS,2,3,10,1,1,2023-05-01 01:36:34
88,SAINS,2,3,10,1,x,2023-05-01 01:36:34
89,SAINS,2,3,10,2,1,2023-05-01 01:36:34
90,SAINS,2,3,10,2,2,2023-05-01 01:36:34
91,SAINS,2,3,10,2,3,2023-05-01 01:36:34
92,SAINS,2,3,10,2,4,2023-05-01 01:36:34
93,SAINS,2,3,10,3,1,2023-05-01 01:36:34
94,SAINS,2,3,10,3,2,2023-05-01 01:36:34
95,SAINS,2,3,10,3,3,2023-05-01 01:36:34
96,SAINS,2,3,10,3,4,2023-05-01 01:36:34
97,SAINS,2,4,11,1,1,2023-05-01 01:36:34
98,SAINS,2,4,11,1,2,2023-05-01 01:36:34
99,SAINS,2,4,12,1,1,2023-05-01 01:36:34
100,SAINS,2,4,12,1,2,2023-05-01 01:36:34
101,SAINS,2,4,12,1,3,2023-05-01 01:36:34
102,SAINS,2,4,12,1,4,2023-05-01 01:36:34
103,SAINS,2,4,12,1,5,2023-05-01 01:36:34
104,SAINS,2,4,13,1,1,2023-05-01 01:36:34
105,SAINS,2,4,13,1,2,2023-05-01 01:36:34
106,SAINS,2,4,13,1,3,2023-05-01 01:36:34
107,SAINS,1,1,1,1,,2023-05-01 01:36:34
108,SAINS,1,1,1,2,,2023-05-01 01:36:34
109,SAINS,1,1,1,3,,2023-05-01 01:36:34
110,SAINS,1,1,1,4,,2023-05-01 01:36:34
111,SAINS,1,1,1,5,,2023-05-01 01:36:34
112,SAINS,1,1,1,6,,2023-05-01 01:36:34
113,SAINS,1,1,1,7,,2023-05-01 01:36:34
114,SAINS,1,2,2,1,,2023-05-01 01:36:34
115,SAINS,1,2,2,2,,2023-05-01 01:36:34
116,SAINS,1,2,3,1,,2023-05-01 01:36:34
117,SAINS,1,2,4,1,,2023-05-01 01:36:34
118,SAINS,1,2,4,2,,2023-05-01 01:36:34
119,SAINS,1,2,4,3,,2023-05-01 01:36:34
120,SAINS,1,2,4,4,,2023-05-01 01:36:34
121,SAINS,1,2,4,5,,2023-05-01 01:36:34
122,SAINS,1,2,4,6,,2023-05-01 01:36:34
123,SAINS,1,2,4,7,,2023-05-01 01:36:34
124,SAINS,1,3,5,1,,2023-05-01 01:36:34
125,SAINS,1,3,5,2,,2023-05-01 01:36:34
126,SAINS,1,3,6,1,,2023-05-01 01:36:34
127,SAINS,1,3,6,2,,2023-05-01 01:36:34
128,SAINS,1,3,6,3,,2023-05-01 01:36:34
129,SAINS,1,3,7,1,,2023-05-01 01:36:34
130,SAINS,1,3,7,2,,2023-05-01 01:36:34
131,SAINS,1,3,7,3,,2023-05-01 01:36:34
132,SAINS,1,4,8,1,,2023-05-01 01:36:34
133,SAINS,1,4,8,2,,2023-05-01 01:36:34
134,SAINS,1,4,8,3,,2023-05-01 01:36:34
135,SAINS,1,4,8,4,,2023-05-01 01:36:34
136,SAINS,1,4,8,5,,2023-05-01 01:36:34
137,SAINS,1,4,8,6,,2023-05-01 01:36:34
138,SAINS,1,4,8,7,,2023-05-01 01:36:34
139,SAINS,1,5,9,1,,2023-05-01 01:36:34
140,SAINS,1,5,9,2,,2023-05-01 01:36:34
141,SAINS,1,5,9,3,,2023-05-01 01:36:34
142,SAINS,1,5,9,4,,2023-05-01 01:36:34
143,SAINS,1,5,9,5,,2023-05-01 01:36:34
144,SAINS,1,5,9,6,,2023-05-01 01:36:34
